,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
PRU,101.08,10.606506,2.2608929,,2.25,0.6,52030000000,2.1715358931552586,,
PTC,130.23,28.87583,6.663085,,,,,,,
PEG,62.9,18.179192,2.3591628,,,,,,,
PSA,291.6,14.059789,9.0058365,,,,,,,
PHM,51.07,5.021632,1.4276928,,,,,,,
QRVO,101.27,16.281351,2.3913198,,,,,,,
QCOM,120.28,11.7117815,7.48522,,,,,,,
PWR,148.27,23.460443,4.079516,,,,,,,
DGX,147.55,14.994919,2.6977859,,,,,,,
RL,119.27,15.429495,3.5057757,,,,,,,
RJF,117.01,12.112837,2.695586,,,,,,,
RTX,98.43,20.722105,2.0616634,,,,,,,
O,66.89,48.824818,1.5689723,,,,,,,
REG,65.97,24.80075,1.8458309,,,,,,,
REGN,728.11,16.968306,3.623772,,,,,,,
RF,22.43,9.968889,1.5509611,,,,,,,
RSG,125.68,26.183332,4.185009,,,,,,,
RMD,225.38,34.888546,9.615599,,,,,,,
RHI,76.82,12.7607975,5.4997134,,,,,,,
ROK,282.19,26.747868,11.926881,,,,,,,
ROL,37.23,50.999996,15.320987,,,,,,,
ROP,445.06,31.475246,3.4059846,,,,,,,
ROST,119.76,27.851162,9.957595,,,,,,,
RCL,64.16,-8.30013,5.107874,,,,,,,
SPGI,367.41,33.04047,3.2206628,,,,,,,
CRM,148.47,30.11562,2.479045,,,,,,,
SBAC,302.82,68.9795,-6.0940614,,,,,,,
SLB,58.46,27.190697,4.8198533,,,,,,,
STX,56.98,31.480663,-33.517647,,,,,,,
SEE,53.95,13.158537,35.775864,,,,,,,
SRE,161.77,18.258467,1.9431366,,,,,,,
NOW,418.24,57.058662,18.712362,,,,,,,
SHW,247.8,28.41743,24.580894,,,,,,,
SBNY,121.18,5.762244,0.9817392,,,,,,,
SPG,125.02,20.871452,13.717357,,,,,,,
SWKS,102.57,10.42378,3.0044818,,,,,,,
SNA,245.38,14.826587,3.021177,,,,,,,
SEDG,320.17,68.266525,8.720414,,,,,,,
SO,70.05,19.56704,2.438982,,,,,,,
LUV,37.04,23.15,2.0132623,,,,,,,
SWK,88.7,20.297483,1.470052,,,,,,,
SBUX,106.75,31.122448,-14.07383,,,,,,,
STT,83.0,11.354309,1.2901821,,,,,,,
STLD,110.19,5.0292106,2.4407477,,,,,,,
STE,199.88,23.710558,3.440453,,,,,,,
SYK,256.4,27.960741,5.8938465,,,,,,,
SIVB,259.99,9.976592,1.2953256,,,,,,,
SYF,33.67,5.6304345,1.2584563,,,,,,,
SNPS,337.3,32.652466,9.318193,,,,,,,
SYY,79.87,19.245783,36.28805,15.53,36.5,0.58,51810000000,4.205357142857143,,
TMUS,146.98,74.60913,2.619264,14.03,2.54,2.22,282970000000,6.212294182217343,,
TROW,118.64,14.885822,2.9824033,,,,,,,
TTWO,104.54,26.2005,1.8562119,28.97,1.87,3.26,19990000000,9.799019607843137,,
TPR,43.63,12.019283,4.660329,10.55,4.63,1.68,13130000000,2.8236559139784947,,
TRGP,75.14,19.119593,7.129709,11.77,7.16,0.79,28130000000,8.736024844720497,,
TGT,162.1,29.31284,6.7713776,12.45,6.88,0.71,93850000000,3.0235180412371134,,
TEL,124.21,18.027576,3.6575384,11.9,3.65,2.48,42660000000,8.141221374045802,,
TDY,415.97,23.395388,2.5357068,17.53,2.54,3.67,23080000000,12.543478260869565,,
TFX,241.1,18.574732,2.9674213,34.4,,,,,,
TER,96.64,23.570732,6.678645,14.27,6.73,5.09,14530000000,6.574660633484163,,
TSLA,131.49,32.627792,10.420002,22.91,9.7,5.64,371280000000,27.279941219691402,,
TXN,175.4,18.92125,11.002383,14.08,11.2,8.25,161310000000,13.029886914378029,,
TXT,69.38,18.75135,2.1450653,,,,,,,
KO,61.68,24.771084,11.695107,20.59,11.65,6.31,292020000000,12.53304721030043,,
EL,267.04,50.195488,17.281906,27.26,17.28,5.62,99900000000,7.438570364854803,,
HD,327.53,19.659664,257.28986,14.2,260.07,2.17,384820000000,7.570725949242573,,
IPG,35.58,13.032968,4.1449213,9.72,4.1,1.31,16809999999,7.818604650697674,,
SJM,155.47,18.077906,2.0173616,15.41,2.0,2.02,21150000000,7.775735294117647,,
MOS,47.25,4.0697675,1.3890115,3.27,1.36,0.91,19420000000,6.012383900928793,,
TRV,185.0,14.16539,2.177521,,,,,,,
TMO,587.86,25.492628,5.2941756,,,,,,,
TJX,81.55,26.221867,16.646254,,,,,,,
TSCO,218.99,22.764034,12.475931,,,,,,,
TT,179.74,24.99861,7.0658073,,,,,,,
TDG,680.35,31.194407,-9.802466,,,,,,,
TRMB,55.43,20.91698,3.5552564,,,,,,,
TFC,47.15,9.506048,1.1560056,,,,,,,
TYL,319.12,41.989475,5.214379,,,,,,,
TSN,65.36,10.244514,1.1942699,,,,,,,
USB,47.44,10.781817,1.7316396,,,,,,,
UDR,40.47,175.95653,3.381235,,,,,,,
ULTA,494.59,21.645077,13.129546,,,,,,,
UNP,214.31,18.66812,11.2380705,,,,,,,
UAL,51.2,23.703703,3.4174342,,,,,,,
UPS,179.0,13.854489,9.125204,,,,,,,
URI,388.87,11.921214,4.242388,,,,,,,
UNH,485.08,19.449879,6.078468,,,,,,,
UHS,146.55,14.878172,1.7872823,,,,,,,
VLO,137.61,5.070376,2.421134,,,,,,,
VTR,49.09,-4909.0,1.8937582,,,,,,,
VRSN,214.48,34.874794,-14.781529,,,,,,,
VRSK,181.57,32.893116,14.3171425,,,,,,,
VZ,40.85,7.8861003,1.9613962,,,,,,,
VRTX,311.98,21.31011,6.1450887,,,,,,,
VFC,30.61,14.78744,3.8546784,,,,,,,
VTRS,11.84,3.5133533,0.74851435,7.17,0.73,0.84,33270000000,4.292903225806452,,
VICI,33.63,27.565575,1.4918818,,,,,,,
V,223.0,26.964931,13.869885,24.38,13.28,16.26,476280000000,16.670633531676582,,
VNO,23.3,68.52941,0.850396,,,,,,,
VMC,182.56,34.510395,3.5390134,18.79,3.55,3.4,28960000000,21.138686131386862,,
GWW,571.67,19.372076,12.540748,13.51,12.56,1.99,31360000000,6.6440677966101696,,
WAB,103.23,21.240742,1.9003701,15.15,1.92,2.36,22490000000,9.25514403292181,,
WBA,36.33,8.073334,1.5225682,-23.38,1.54,0.24,62900000000,2.224973470109657,,
WMT,144.41,23.790773,5.3985047,17.35,5.42,0.67,445610000000,3.099895652173913,,
WBD,13.23,-10.0992365,0.66209584,6.9,0.66,0.76,79360000000,10.469656992084433,,
WM,154.37,26.987762,9.040702,14.65,9.03,3.31,77220000000,11.32258064516129,,
WAT,332.25,27.849957,51.34446,21.47,52.29,6.98,21330000000,13.085889570552148,,
WEC,95.04,21.649204,2.64,,,,,,,
WFC,44.12,9.134576,1.0680999,,1.06,2.3,,,,
WELL,71.71,170.7381,1.7676058,24.13,1.75,5.71,48790000000,24.892857142857142,,
WST,253.04,30.933983,7.5785437,,,,,,,
WDC,37.32,746.39996,0.980248,,,,,,,
WRK,37.1,9.464285,0.82777387,5.54,0.84,0.46,17090000000,4.25124378215205,,
WY,31.71,10.640939,2.1578767,7.32,2.16,2.25,26570000000,6.4804878064586555,,
WHR,154.9,8.139779,2.0020678,8.81,2.01,0.43,12290000000,2.7868480725623583,,
WMB,32.78,20.110428,3.5384283,12.67,3.67,3.83,63710000000,12.251923076923077,,
WTW,252.2,18.891384,2.7856014,8.6,2.19,2.82,26250000000,6.481481481481482,,
WYNN,98.01,-23.963326,-14.4451,,,,,,,
XEL,71.09,22.425865,2.373464,,,,,,,
XYL,116.0,42.80443,6.501878,,,,,,,
YUM,130.33,29.221973,-4.3332114,,,,,,,
ZBRA,293.58,16.91129,5.725262,,,,,,,
ZBH,123.01,18.01025,2.107635,,,,,,,
ZION,50.86,9.049823,1.7878863,,,,,,,
ZTS,159.57,32.96901,15.96179,,,,,,,
